dataset,arm,control_idx,mean_tokens_removed
pbmc3k,no_ribo_mito,128,8.995072024260804
pbmc3k,no_ribo_mito,129,9.335102350265352
pbmc3k,no_ribo_mito,130,9.383244882486732
pbmc3k,no_ribo_mito,131,8.994692949203943
pbmc3k,no_ribo_mito,132,9.324488248673237
pbmc3k,no_ribo_mito,133,9.246398786959817
pbmc3k,no_ribo_mito,134,9.14139499620925
pbmc3k,no_ribo_mito,135,8.812357846853677
pbmc3k,no_ribo_mito,136,9.265352539802882
pbmc3k,no_ribo_mito,137,8.925701288855194
pbmc3k,no_ribo_mito,138,9.00265352539803
pbmc3k,no_ribo_mito,139,9.16262319939348
pbmc3k,no_ribo_mito,140,9.206595905989387
pbmc3k,no_ribo_mito,141,9.169446550416982
pbmc3k,no_ribo_mito,142,9.229340409401061
pbmc3k,no_ribo_mito,143,9.31652767247915
pbmc3k,no_ribo_mito,144,8.999241849886278
pbmc3k,no_ribo_mito,145,9.384382107657316
pbmc3k,no_ribo_mito,146,9.399924184988627
pbmc3k,no_ribo_mito,147,9.410917361637605
pbmc3k,no_ribo_mito,148,9.289613343442001
pbmc3k,no_ribo_mito,149,9.299090219863533
pbmc3k,no_ribo_mito,150,8.992418498862774
pbmc3k,no_ribo_mito,151,8.947687642153147
pbmc3k,no_ribo_mito,152,9.339272175890827
pbmc3k,no_ribo_mito,153,8.976497346474602
pbmc3k,no_ribo_mito,154,9.182714177407126
pbmc3k,no_ribo_mito,155,8.84950720242608
pbmc3k,no_ribo_mito,156,8.752084912812737
pbmc3k,no_ribo_mito,157,9.412054586808187
pbmc3k,no_ribo_mito,158,9.359363153904473
pbmc3k,no_ribo_mito,159,9.339651250947687
pbmc3k,no_ribo_mito,160,9.188021228203183
pbmc3k,no_ribo_mito,161,9.296057619408643
pbmc3k,no_ribo_mito,162,9.095526914329037
pbmc3k,no_ribo_mito,163,9.429871114480667
pbmc3k,no_ribo_mito,164,9.508718726307809
pbmc3k,no_ribo_mito,165,9.07543593631539
pbmc3k,no_ribo_mito,166,9.305534495830175
pbmc3k,no_ribo_mito,167,9.232373009855952
pbmc3k,no_ribo_mito,168,9.233131159969673
pbmc3k,no_ribo_mito,169,9.238817285822593
pbmc3k,no_ribo_mito,170,9.390447308567095
pbmc3k,no_ribo_mito,171,8.929112964366945
pbmc3k,no_ribo_mito,172,9.199393479909022
pbmc3k,no_ribo_mito,173,9.44238059135709
pbmc3k,no_ribo_mito,174,9.059514783927218
pbmc3k,no_ribo_mito,175,9.418119787717968
pbmc3k,no_ribo_mito,176,9.224412433661865
pbmc3k,no_ribo_mito,177,9.310462471569371
pbmc3k,no_ribo_mito,178,9.432145564821834
pbmc3k,no_ribo_mito,179,9.326004548900682
pbmc3k,no_ribo_mito,180,9.306671721000757
pbmc3k,no_ribo_mito,181,9.134950720242609
pbmc3k,no_ribo_mito,182,9.189916603487491
pbmc3k,no_ribo_mito,183,8.99962092494314
pbmc3k,no_ribo_mito,184,9.083775587566338
pbmc3k,no_ribo_mito,185,9.36732373009856
pbmc3k,no_ribo_mito,186,9.570507960576194
pbmc3k,no_ribo_mito,187,9.258529188779379
pbmc3k,no_ribo_mito,188,9.23805913570887
pbmc3k,no_ribo_mito,189,8.834723275208491
