gene,token_id,norm,dist_from_centroid,cos_to_centroid,norm_zscore,dist_zscore,cos_zscore,is_outlier,pca_1,pca_2,isolation_score,isolation_zscore,anomaly_score
FDPS,5613,27.585802,27.593353,-0.025750099,-0.15557009,-0.14292128,-0.984618,False,-0.89252025,2.105485,0.8757445,0.71294075,0.984618
FDX1,5614,27.848778,27.827198,0.09093178,0.22826746,0.19842707,2.3212755,False,-0.7528232,-0.13568914,0.86882985,-0.9802899,2.3212755
FDX2,5615,28.13581,28.141933,-0.020094736,0.647219,0.6578533,-0.82438725,False,1.0168797,2.112092,0.87564313,0.6881135,0.82438725
FDXACB1,5616,27.351402,27.35289,-0.0013887853,-0.49769846,-0.4939308,-0.29440024,False,-0.7854869,-0.22667484,0.86858433,-1.0404096,1.0404096
FDXR,5617,26.822111,26.812748,0.04216908,-1.2702483,-1.2823881,0.93970454,False,-0.64811176,-0.10569914,0.8683745,-1.0917863,1.2823881
FECH,5618,27.68391,27.685081,-0.00018713975,-0.012371888,-0.009023588,-0.26035458,False,0.39475125,1.2984319,0.87492716,0.51279014,0.51279014
FEM1A,5619,26.85502,26.84533,0.04347065,-1.222214,-1.2348284,0.97658134,False,-0.72036123,-0.16199872,0.876005,0.7767239,1.2348284
FEM1B,5620,26.945839,26.950298,-0.013241287,-1.089656,-1.0816028,-0.6302117,False,0.31170207,0.66273504,0.8695304,-0.8087468,1.089656
FEM1C,5621,26.681435,26.6745,0.032460935,-1.4755788,-1.4841924,0.6646482,False,-0.065303266,-0.6742053,0.8672738,-1.3613248,1.4841924
FEN1,5622,27.036625,27.029879,0.031646393,-0.9571454,-0.96543765,0.64157015,False,-0.5900603,-1.4933344,0.8702839,-0.6242282,0.96543765
FER,5623,27.892082,27.879587,0.05453545,0.29147434,0.27490065,1.2900752,False,-1.5071143,-0.09084602,0.88013095,1.7870663,1.7870663
FER1L5,5624,26.626144,26.633568,-0.025065891,-1.55628,-1.5439413,-0.96523273,False,-1.3002774,1.4433956,0.86875594,-0.9983885,1.55628
FER1L6,5625,27.253372,27.253649,0.0034739536,-0.64078254,-0.63879544,-0.15662652,False,-1.8150504,0.31184697,0.8762368,0.8334865,0.8334865
FERD3L,5626,28.468287,28.44815,0.08505775,1.1324983,1.1048453,2.1548493,False,-1.529009,-3.2306244,0.8740352,0.29436573,2.1548493
FERMT1,5627,26.757303,26.761856,-0.0135800205,-1.3648415,-1.3566761,-0.6398089,False,2.3700087,-0.8458712,0.86790675,-1.2063333,1.3648415
FERMT2,5628,27.129862,27.13074,0.0010773308,-0.8210574,-0.81820923,-0.22452891,False,-0.23377232,0.3750354,0.8744774,0.40265113,0.8210574
FERMT3,5629,28.99984,29.001722,-0.0032402342,1.9083499,1.912906,-0.34685647,False,-1.6714964,-1.6406815,0.8677265,-1.2504706,1.912906
FES,5630,28.052288,28.061049,-0.03066457,0.5253097,0.5397838,-1.1238575,False,1.6991717,0.4813399,0.86870444,-1.0109992,1.1238575
FETUB,5631,27.090252,27.108812,-0.06980304,-0.87887174,-0.8502164,-2.2327495,False,0.17614508,-0.36251554,0.87075007,-0.51007533,2.2327495
FEV,5632,27.610237,27.611216,0.0005946739,-0.11990487,-0.116847254,-0.23820381,False,0.50162864,0.80617434,0.87248373,-0.0855453,0.23820381
FEZ1,5633,28.21374,28.212381,0.009863789,0.76096296,0.76068765,0.024413742,False,-0.869357,0.44051018,0.8668564,-1.4635384,1.4635384
FEZ2,5634,27.609753,27.617065,-0.024789875,-0.12061199,-0.10830812,-0.9574124,False,1.3906554,-3.1647353,0.87866867,1.4289904,1.4289904
FEZF1,5635,27.734991,27.733559,0.0102418205,0.062185165,0.06173961,0.035124328,False,0.4648568,1.1281577,0.87266475,-0.04121821,0.062185165
FEZF2,5636,28.86808,28.860636,0.03415894,1.7160343,1.7069589,0.712757,False,1.2031784,1.7955945,0.8699228,-0.71264887,1.7160343
FFAR1,5637,27.068996,27.059952,0.04085228,-0.90989614,-0.9215392,0.9023962,False,0.97987396,-0.1355834,0.8723343,-0.12213668,0.9215392
FFAR2,5638,27.497368,27.507177,-0.034778345,-0.2846481,-0.26871416,-1.2404112,False,-0.69087523,-0.12403891,0.88230944,2.320524,2.320524
FFAR3,5639,28.567638,28.555372,0.05351928,1.2775116,1.261359,1.2612845,False,2.3252988,0.3713599,0.8727905,-0.010421318,1.2775116
FFAR4,5640,28.410501,28.409542,0.0082398765,1.0481555,1.0484875,-0.021595825,False,0.41986403,1.0052372,0.8770321,1.0282367,1.0484875
FGA,5641,26.15384,26.159815,-0.019186756,-2.2456536,-2.235489,-0.7986618,False,-1.570248,2.0207713,0.87844193,1.3734684,2.2456536
FGB,5642,27.087744,27.080872,0.03214626,-0.88253266,-0.8910021,0.65573263,False,0.72363335,-1.5512938,0.87465847,0.4469928,0.8910021
FGD1,5643,28.872522,28.875845,-0.009002027,1.7225182,1.7291601,-0.5101027,False,-0.071367204,0.6698917,0.8752955,0.60299146,1.7291601
FGD2,5644,27.977407,27.973677,0.019409716,0.4160145,0.41224518,0.29487407,False,1.9020895,-0.41379777,0.8723773,-0.11161319,0.4160145
FGD3,5645,26.92564,26.924932,0.0074666203,-1.119138,-1.1186298,-0.043504134,False,0.16991763,1.6087416,0.8722229,-0.14941601,1.119138
FGD4,5646,28.164015,28.166264,-0.004581357,0.6883853,0.69336855,-0.3848539,False,0.62863994,-1.6248541,0.8778717,1.2338315,1.2338315
FGD5,5647,27.095522,27.094904,0.007084515,-0.8711797,-0.87051874,-0.054330148,False,0.59408873,-0.18797137,0.8776723,1.185009,1.185009
FGD6,5648,28.103043,28.113089,-0.035826467,0.5993907,0.61574787,-1.2701072,False,1.4978924,0.075545155,0.863558,-2.2712343,2.2712343
